STT,Mã CK▲,Tên công ty,Ngành,Sàn,Khối lượng NY/ĐKGD,link
1891,CoKhiOTo32,CTCP Cơ khí Ô Tô 3-2,Hỗ trợ vận tải,OTC,0,https://finance.vietstock.vn/CoKhiOTo32-ctcp-co-khi-o-to-3-2.htm
1892,COMPT,"Công ty TNHH Tư vấn Đầu tư, Tài chính, Kế toán Thuế - Kiểm toán COM.PT",Dịch vụ pháp lý,Khác,0,https://finance.vietstock.vn/COMPT-cong-ty-tnhh-tu-van-dau-tu-tai-chinh-ke-toan-thue-kiem-toan-com-pt.htm
1893,ConDao,CTCP Thủy sản và Xuất nhập khẩu Côn Đảo,Sản xuất thực phẩm,OTC,0,https://finance.vietstock.vn/ConDao-ctcp-thuy-san-va-xuat-nhap-khau-con-dao.htm
1894,CongNgheCao,CTCP Công nghệ Cao,Sản xuất trang thiết bị nội thất và sản phẩm liên quan,OTC,0,https://finance.vietstock.vn/CongNgheCao-ctcp-cong-nghe-cao.htm
1895,CongNghiepMasan,CTCP Công nghiệp Masan,Bán buôn hàng tiêu dùng,OTC,0,https://finance.vietstock.vn/CongNghiepMasan-ctcp-cong-nghiep-masan.htm
1896,CongNghiepPhuYen,CTCP Công nghiệp Phú Yên,Bán buôn hàng tiêu dùng,OTC,0,https://finance.vietstock.vn/CongNghiepPhuYen-ctcp-cong-nghiep-phu-yen.htm
1897,CongThanh,CTCP Xi măng Công Thanh,Sản xuất sản phẩm khoáng chất phi kim,OTC,0,https://finance.vietstock.vn/CongThanh-ctcp-xi-mang-cong-thanh.htm
1898,CongTrinh134,CTCP Đầu tư và Xây dựng Công trình 134,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/CongTrinh134-ctcp-dau-tu-va-xay-dung-cong-trinh-134.htm
1899,CongTrinh525,CTCP Xây dựng Công trình 525,"Xây dựng nhà cửa, cao ốc",OTC,3130000,https://finance.vietstock.vn/CongTrinh525-ctcp-xay-dung-cong-trinh-525.htm
1900,CongTrinhBuuDien,CTCP Phát triển Công trình Bưu điện,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/CongTrinhBuuDien-ctcp-phat-trien-cong-trinh-buu-dien.htm
1901,CongTrinhGTDB,CTCP Công trình Giao thông Tỉnh Điện Biên,Xây dựng công nghiệp nặng và dân dụng,OTC,0,https://finance.vietstock.vn/CongTrinhGTDB-ctcp-cong-trinh-giao-thong-tinh-dien-bien.htm
1902,CongTrinhHaNoi,CTCP Đầu Tư Công trình Hà Nội,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/CongTrinhHaNoi-ctcp-dau-tu-cong-trinh-ha-noi.htm
1903,CongTy118,CTCP 118,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/CongTy118-ctcp-118.htm
1904,CONSTRAD423,CTCP Xây dựng và Thương mại 423,"Xây dựng nhà cửa, cao ốc",OTC,1250000,https://finance.vietstock.vn/CONSTRAD423-ctcp-xay-dung-va-thuong-mai-423.htm
1905,CoopBank,Ngân hàng Hợp tác xã Việt Nam,Trung gian tín dụng và các hoạt động liên quan,Khác,0,https://finance.vietstock.vn/CoopBank-ngan-hang-hop-tac-xa-viet-nam.htm
1906,COPAC,CTCP Đầu Tư Xây dựng và Thương mại Thái Bình Dương,"Xây dựng nhà cửa, cao ốc",OTC,9700000,https://finance.vietstock.vn/COPAC-ctcp-dau-tu-xay-dung-va-thuong-mai-thai-binh-duong.htm
1907,Coresco,CTCP Đầu Tư Xây dựng Kinh doanh Nhà Bến Thành,"Xây dựng nhà cửa, cao ốc",OTC,2600000,https://finance.vietstock.vn/Coresco-ctcp-dau-tu-xay-dung-kinh-doanh-nha-ben-thanh.htm
1908,Cosaco,CTCP Sài Gòn Xây dựng,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/Cosaco-ctcp-sai-gon-xay-dung.htm
1909,Cosevco1,CTCP Sản xuất Vật liệu và Xây dựng Cosevco 1,Sản xuất sản phẩm khoáng chất phi kim,OTC,0,https://finance.vietstock.vn/Cosevco1-ctcp-san-xuat-vat-lieu-va-xay-dung-cosevco-1.htm
1910,Cosevco75,CTCP Cosevco 75,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/Cosevco75-ctcp-cosevco-75.htm
1911,COT60,CTCP Công trình Giao thông 60,Chăn nuôi,OTC,0,https://finance.vietstock.vn/COT60-ctcp-cong-trinh-giao-thong-60.htm
1912,Cotec,CTCP Kỹ thuật Xây dựng và Vật liệu Xây dựng COTEC,Sản xuất sản phẩm khoáng chất phi kim,OTC,0,https://finance.vietstock.vn/Cotec-ctcp-ky-thuat-xay-dung-va-vat-lieu-xay-dung-cotec.htm
1913,CotecAnpha,CTCP Kỹ thuật Xây dựng Anpha,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/CotecAnpha-ctcp-ky-thuat-xay-dung-anpha.htm
1914,COXANO,CTCP Cơ khí Xây dựng Công trình Thừa Thiên Huế,"Xây dựng nhà cửa, cao ốc",OTC,1556240,https://finance.vietstock.vn/COXANO-ctcp-co-khi-xay-dung-cong-trinh-thua-thien-hue.htm
1915,CPAHaNoi,Công ty Kiểm toán và Kế toán Hà Nội,Dịch vụ pháp lý,Khác,0,https://finance.vietstock.vn/CPAHaNoi-cong-ty-kiem-toan-va-ke-toan-ha-noi.htm
1916,CPAHCM,Công ty TNHH Kiểm toán và Tư vấn CPA HCM,Dịch vụ pháp lý,Khác,0,https://finance.vietstock.vn/CPAHCM-cong-ty-tnhh-kiem-toan-va-tu-van-cpa-hcm.htm
1917,CPAVietNam,Công ty Hợp danh Kiểm toán Việt Nam,Dịch vụ pháp lý,Khác,0,https://finance.vietstock.vn/CPAVietNam-cong-ty-hop-danh-kiem-toan-viet-nam.htm
1918,CPHACO,CTCP Đầu tư Xây dựng Chánh Phú Hòa,Dịch vụ hành chính và hỗ trợ,Khác,0,https://finance.vietstock.vn/CPHACO-ctcp-dau-tu-xay-dung-chanh-phu-hoa.htm
1919,CPT,CTCP Xây lắp Bưu điện,Viễn thông,OTC,0,https://finance.vietstock.vn/CPT-ctcp-xay-lap-buu-dien.htm
1920,CPW,CTCP Công trình Giao thông Công chánh,Xây dựng công nghiệp nặng và dân dụng,OTC,26875000,https://finance.vietstock.vn/CPW-ctcp-cong-trinh-giao-thong-cong-chanh.htm
1921,CSCJ,CTCP Chứng khoán Thủ Đô,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,7573667,https://finance.vietstock.vn/CSCJ-ctcp-chung-khoan-thu-do.htm
1922,CSG,CTCP Cáp Sài Gòn,Viễn thông,OTC,29742020,https://finance.vietstock.vn/CSG-ctcp-cap-sai-gon.htm
1923,CST124,CTCP Xây dựng Giao thông và Thương mại 124,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/CST124-ctcp-xay-dung-giao-thong-va-thuong-mai-124.htm
1924,CT185,Công ty TNHH MTV 185,Xây dựng công nghiệp nặng và dân dụng,Khác,0,https://finance.vietstock.vn/CT185-cong-ty-tnhh-mtv-185.htm
1925,CT5,CTCP 319.5,"Xây dựng nhà cửa, cao ốc",OTC,4400000,https://finance.vietstock.vn/CT5-ctcp-319-5.htm
1926,CTCCorp,CTCP Đô thị Du lịch Cần Giờ,Vận chuyển du lịch,OTC,0,https://finance.vietstock.vn/CTCCorp-ctcp-do-thi-du-lich-can-gio.htm
1927,CTE,CTCP Hạ Tầng Viễn Thông CMC,Viễn thông,OTC,0,https://finance.vietstock.vn/CTE-ctcp-ha-tang-vien-thong-cmc.htm
1928,CTGT,CTCP Công trình Giao thông Tỉnh Bà Rịa - Vũng Tàu,"Xây dựng nhà cửa, cao ốc",OTC,6000000,https://finance.vietstock.vn/CTGT-ctcp-cong-trinh-giao-thong-tinh-ba-ria-vung-tau.htm
1929,CTM,CTCP Đầu tư Xây dựng và Khai thác mỏ Vinavico,Xây dựng công nghiệp nặng và dân dụng,OTC,4399996,https://finance.vietstock.vn/CTM-ctcp-dau-tu-xay-dung-va-khai-thac-mo-vinavico.htm
1930,CTV,CTCP Đầu tư - Sản xuất và Thương mại Việt Nam,Bán buôn hàng tiêu dùng,OTC,2000000,https://finance.vietstock.vn/CTV-ctcp-dau-tu-san-xuat-va-thuong-mai-viet-nam.htm
1931,Cty479,CTCP 479,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/Cty479-ctcp-479.htm
1932,CTYCN2,Công ty TNHH MTV Cấp nước số 2,"Nước, chất thải và các hệ thống khác",Khác,0,https://finance.vietstock.vn/CTYCN2-cong-ty-tnhh-mtv-cap-nuoc-so-2.htm
1933,CVC,CTCP Cơ điện Vật tư,"Sản xuất trang thiết bị, dụng cụ điện",OTC,2200000,https://finance.vietstock.vn/CVC-ctcp-co-dien-vat-tu.htm
1934,CVH,"CTCP Công viên, Cây xanh Hải Phòng","Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",OTC,1280000,https://finance.vietstock.vn/CVH-ctcp-cong-vien-cay-xanh-hai-phong.htm
1935,CVS,CTCP Chứng khoán CV,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,0,https://finance.vietstock.vn/CVS-ctcp-chung-khoan-cv.htm
1936,CXC,CTCP Cầu Xây,"Sản xuất các sản phẩm điện tử, vi tính",OTC,0,https://finance.vietstock.vn/CXC-ctcp-cau-xay.htm
1937,CXH,CTCP Xe khách Hà Nội,Vận tải đường bộ,OTC,1885306,https://finance.vietstock.vn/CXH-ctcp-xe-khach-ha-noi.htm
1938,CZC,CTCP Than Miền Trung,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),OTC,5602590,https://finance.vietstock.vn/CZC-ctcp-than-mien-trung.htm
1939,D26,CTCP Quản lý và Xây dựng Đường bộ 26,"Xây dựng nhà cửa, cao ốc",OTC,1000000,https://finance.vietstock.vn/D26-ctcp-quan-ly-va-xay-dung-duong-bo-26.htm
1940,DAB,Ngân hàng TMCP Đại Á,Trung gian tín dụng và các hoạt động liên quan,Khác,310000000,https://finance.vietstock.vn/DAB-ngan-hang-tmcp-dai-a.htm
1941,DaBinhDinh,CTCP VRG Đá Bình Định,Sản xuất sản phẩm khoáng chất phi kim,OTC,0,https://finance.vietstock.vn/DaBinhDinh-ctcp-vrg-da-binh-dinh.htm
1942,DaGiayHaiPhong,CTCP Da Giầy và Phát triển Hải Phòng,"Sản xuất sợi, vải",OTC,0,https://finance.vietstock.vn/DaGiayHaiPhong-ctcp-da-giay-va-phat-trien-hai-phong.htm
1943,DaGiayVietNam,CTCP Da Giầy Việt Nam,"Sản xuất sợi, vải",OTC,0,https://finance.vietstock.vn/DaGiayVietNam-ctcp-da-giay-viet-nam.htm
1944,DaichiLife,Công ty Bảo hiểm Nhân thọ Dai-Ichi Việt Nam,Bảo hiểm và các hoạt động liên quan,Khác,0,https://finance.vietstock.vn/DaichiLife-cong-ty-bao-hiem-nhan-tho-dai-ichi-viet-nam.htm
1945,DaiMo,CTCP Cơ khí Xây dựng Đại Mỗ,Sản xuất sản phẩm khoáng chất phi kim,OTC,0,https://finance.vietstock.vn/DaiMo-ctcp-co-khi-xay-dung-dai-mo.htm
1946,DaiNam,Văn Phòng Thám Tử Điều Tra - Theo Dõi Đại Nam,Dịch vụ hành chính và hỗ trợ,Khác,0,https://finance.vietstock.vn/DaiNam-van-phong-tham-tu-dieu-tra-theo-doi-dai-nam.htm
1947,DaiNamAudit,Công ty TNHH Kiểm toán và Giải pháp Công nghệ Thông tin Đại Nam,Dịch vụ pháp lý,Khác,0,https://finance.vietstock.vn/DaiNamAudit-cong-ty-tnhh-kiem-toan-va-giai-phap-cong-nghe-thong-tin-dai-nam.htm
1948,DaiTinAudit,Công ty TNHH Kiểm toán Đại Tín,Dịch vụ pháp lý,Khác,0,https://finance.vietstock.vn/DaiTinAudit-cong-ty-tnhh-kiem-toan-dai-tin.htm
1949,DaNangXD,CTCP Xây dựng Công trình Giao thông Đà Nẵng,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/DaNangXD-ctcp-xay-dung-cong-trinh-giao-thong-da-nang.htm
1950,DANATEX,CTCP Dệt Hòa Khánh - Đà Nẵng,"Sản xuất sợi, vải",OTC,0,https://finance.vietstock.vn/DANATEX-ctcp-det-hoa-khanh-da-nang.htm
1951,DAP,CTCP Đông Á,Sản xuất giấy,OTC,1680000,https://finance.vietstock.vn/DAP-ctcp-dong-a.htm
1952,DaTayDo,CTCP Da Tây Đô,"Sản xuất sợi, vải",OTC,0,https://finance.vietstock.vn/DaTayDo-ctcp-da-tay-do.htm
1953,DATC,Công ty TNHH MTV Mua bán nợ Việt Nam,Chăn nuôi,Khác,0,https://finance.vietstock.vn/DATC-cong-ty-tnhh-mtv-mua-ban-no-viet-nam.htm
1954,DatVang,CTCP Sông Đà - Đất Vàng,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/DatVang-ctcp-song-da-dat-vang.htm
1955,DauTuHaNoi,CTCP Thương mại và Đầu tư TIC Hà Nội,Bán buôn hàng lâu bền,OTC,0,https://finance.vietstock.vn/DauTuHaNoi-ctcp-thuong-mai-va-dau-tu-tic-ha-noi.htm
1956,DBF,CTCP Lương thực Đông Bắc,Cửa hàng đồ nội thất và đồ dùng gia đình,OTC,3679200,https://finance.vietstock.vn/DBF-ctcp-luong-thuc-dong-bac.htm
1957,DCC,CTCP Xây dựng Công nghiệp (DESCON),"Xây dựng nhà cửa, cao ốc",OTC,10300000,https://finance.vietstock.vn/DCC-ctcp-xay-dung-cong-nghiep-descon.htm
1958,DCD,CTCP Du lịch và Thương mại DIC,Khách sạn và phòng ở,Khác,11294323,https://finance.vietstock.vn/DCD-ctcp-du-lich-va-thuong-mai-dic.htm
1959,DCI,CTCP Công nghiệp Hóa chất Đà Nẵng,"Sản xuất hóa chất, dược phẩm",OTC,2412518,https://finance.vietstock.vn/DCI-ctcp-cong-nghiep-hoa-chat-da-nang.htm
1960,DCPA,Công ty TNHH Tư vấn DCPA,Dịch vụ pháp lý,Khác,0,https://finance.vietstock.vn/DCPA-cong-ty-tnhh-tu-van-dcpa.htm
1961,DDS,CTCP Chứng khoán AIS,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,3000000,https://finance.vietstock.vn/DDS-ctcp-chung-khoan-ais.htm
1962,Deloitte,Công ty TNHH Deloitte Việt Nam,Dịch vụ pháp lý,Khác,0,https://finance.vietstock.vn/Deloitte-cong-ty-tnhh-deloitte-viet-nam.htm
1963,DeltaAgf,CTCP Đầu tư và Xây dựng Delta AGF,"Xây dựng nhà cửa, cao ốc",OTC,5691644,https://finance.vietstock.vn/DeltaAgf-ctcp-dau-tu-va-xay-dung-delta-agf.htm
1964,DeltaCorp,CTCP Đầu tư Châu Thổ,Chăn nuôi,OTC,0,https://finance.vietstock.vn/DeltaCorp-ctcp-dau-tu-chau-tho.htm
1965,DeltaTower,CTCP Cảnh Hưng Hải Thành,"Xây dựng nhà cửa, cao ốc",OTC,24000000,https://finance.vietstock.vn/DeltaTower-ctcp-canh-hung-hai-thanh.htm
1966,DetHaDong,CTCP Dệt Hà Đông,"Sản xuất sợi, vải",OTC,1300000,https://finance.vietstock.vn/DetHaDong-ctcp-det-ha-dong.htm
1967,DetPhongPhu,CTCP Dệt vải Phong Phú,"Sản xuất sợi, vải",OTC,0,https://finance.vietstock.vn/DetPhongPhu-ctcp-det-vai-phong-phu.htm
1968,DetVinhPhu,CTCP Dệt Vĩnh Phú,"Sản xuất sợi, vải",OTC,0,https://finance.vietstock.vn/DetVinhPhu-ctcp-det-vinh-phu.htm
1969,DeutscheBank,Ngân hàng Deutsche Việt Nam,Trung gian tín dụng và các hoạt động liên quan,Khác,0,https://finance.vietstock.vn/DeutscheBank-ngan-hang-deutsche-viet-nam.htm
1970,DFK,Công ty TNHH Kiểm toán DFK Việt Nam,Dịch vụ pháp lý,Khác,0,https://finance.vietstock.vn/DFK-cong-ty-tnhh-kiem-toan-dfk-viet-nam.htm
1971,DFS,CTCP Chế biến Xuất nhập khẩu Nông sản Thực phẩm Đồng Nai,Sản xuất thực phẩm,OTC,22500000,https://finance.vietstock.vn/DFS-ctcp-che-bien-xuat-nhap-khau-nong-san-thuc-pham-dong-nai.htm
1972,DFVN,Công ty TNHH MTV Quản lý Quỹ Dai-Ichi Life Việt Nam,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",Khác,0,https://finance.vietstock.vn/DFVN-cong-ty-tnhh-mtv-quan-ly-quy-dai-ichi-life-viet-nam.htm
1973,DGL,CTCP Hóa chất Đức Giang - Lào Cai,"Sản xuất hóa chất, dược phẩm",Khác,99785463,https://finance.vietstock.vn/DGL-ctcp-hoa-chat-duc-giang-lao-cai.htm
1974,DHI,CTCP In Diên Hồng,In ấn và các hoạt động hỗ trợ,OTC,2628042,https://finance.vietstock.vn/DHI-ctcp-in-dien-hong.htm
1975,DHL,CTCP Cơ khí Vận tải Thương mại Đại Hưng,Sản xuất sản phẩm khoáng chất phi kim,OTC,5500000,https://finance.vietstock.vn/DHL-ctcp-co-khi-van-tai-thuong-mai-dai-hung.htm
1976,DIAOC3,CTCP Xây dựng và Kinh doanh Địa Ốc III,Xây dựng công nghiệp nặng và dân dụng,OTC,0,https://finance.vietstock.vn/DIAOC3-ctcp-xay-dung-va-kinh-doanh-dia-oc-iii.htm
1977,DIAOC8,CTCP Địa ốc 8,Bất động sản,Khác,0,https://finance.vietstock.vn/DIAOC8-ctcp-dia-oc-8.htm
1978,DiaOcGiaDinh,CTCP Đầu tư Địa ốc Gia Định,Bất động sản,OTC,0,https://finance.vietstock.vn/DiaOcGiaDinh-ctcp-dau-tu-dia-oc-gia-dinh.htm
1979,DIC1,CTCP Xây dựng Đô thị và Khu công nghiệp,"Xây dựng nhà cửa, cao ốc",OTC,2000000,https://finance.vietstock.vn/DIC1-ctcp-xay-dung-do-thi-va-khu-cong-nghiep.htm
1980,DICThanhBinh,CTCP Đầu tư Phát triển Xây dựng Thanh Bình,"Xây dựng nhà cửa, cao ốc",OTC,500000,https://finance.vietstock.vn/DICThanhBinh-ctcp-dau-tu-phat-trien-xay-dung-thanh-binh.htm
1981,DienLucDaNang,CTCP Thủy điện Điện Lực Đà Nẵng,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/DienLucDaNang-ctcp-thuy-dien-dien-luc-da-nang.htm
1982,DienNuocHaNoi,CTCP Xây dựng Lắp máy Điện nước Hà Nội,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/DienNuocHaNoi-ctcp-xay-dung-lap-may-dien-nuoc-ha-noi.htm
1983,DienThuBon,CTCP Thủy điện Thu Bồn,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/DienThuBon-ctcp-thuy-dien-thu-bon.htm
1984,Diginet,CTCP Định Gia Nét,Thiết kế hệ thống máy tính và dịch vụ liên quan,OTC,1500000,https://finance.vietstock.vn/Diginet-ctcp-dinh-gia-net.htm
1985,DinhThien,Công Ty TNHH Thương mại Dịch vụ Kỹ thuật Đỉnh Thiên,Bán buôn hàng tiêu dùng,Khác,0,https://finance.vietstock.vn/DinhThien-cong-ty-tnhh-thuong-mai-dich-vu-ky-thuat-dinh-thien.htm
1986,DKH,Trung tâm Đăng kiểm phương tiện Giao thông Thủy bộ,Dịch vụ hành chính và hỗ trợ,OTC,212036,https://finance.vietstock.vn/DKH-trung-tam-dang-kiem-phuong-tien-giao-thong-thuy-bo.htm
1987,DKP,CTCP Dược Khoa,"Sản xuất hóa chất, dược phẩm",OTC,3003910,https://finance.vietstock.vn/DKP-ctcp-duoc-khoa.htm
1988,DLBD,CTCP Du lịch Bưu điện,Chăn nuôi,OTC,0,https://finance.vietstock.vn/DLBD-ctcp-du-lich-buu-dien.htm
1989,DLC,CTCP Du lịch Cần Thơ,Dịch vụ ăn uống,OTC,4780080,https://finance.vietstock.vn/DLC-ctcp-du-lich-can-tho.htm
1990,DLTHUDUC,Công ty TNHH MTV Dịch vụ Du lịch Thủ Đức,Vận chuyển du lịch,Khác,0,https://finance.vietstock.vn/DLTHUDUC-cong-ty-tnhh-mtv-dich-vu-du-lich-thu-duc.htm
1991,DLV,CTCP Du lịch Việt Nam - VITOURS,Chăn nuôi,OTC,0,https://finance.vietstock.vn/DLV-ctcp-du-lich-viet-nam-vitours.htm
1992,DLX,CTCP Delex Việt Nam,Sản xuất các sản phẩm nhựa và cao su,OTC,0,https://finance.vietstock.vn/DLX-ctcp-delex-viet-nam.htm
1993,DMCSouth,CTCP Hóa phẩm Dầu khí DMC - Miền Nam,"Sản xuất hóa chất, dược phẩm",OTC,0,https://finance.vietstock.vn/DMCSouth-ctcp-hoa-pham-dau-khi-dmc-mien-nam.htm
1994,DMH,CTCP Dược Minh Hải,"Sản xuất hóa chất, dược phẩm",OTC,2500000,https://finance.vietstock.vn/DMH-ctcp-duoc-minh-hai.htm
1995,DMTC,CTCP Khoan và Dịch vụ Kỹ thuật Khai thác Mỏ,Các hoạt động hỗ trợ Khai khoáng,OTC,0,https://finance.vietstock.vn/DMTC-ctcp-khoan-va-dich-vu-ky-thuat-khai-thac-mo.htm
1996,DNB,CTCP Sách và Thiết bị trường học tỉnh Đắk Nông,"Cửa hàng đồ dùng thể thao, đồ cổ, sách và âm nhạc",OTC,1447554,https://finance.vietstock.vn/DNB-ctcp-sach-va-thiet-bi-truong-hoc-tinh-dak-nong.htm
1997,DNF,CTCP Lương thực Đà Nẵng,Sản xuất thực phẩm,OTC,5000000,https://finance.vietstock.vn/DNF-ctcp-luong-thuc-da-nang.htm
1998,DNG,CTCP Lắp máy Điện nước và Xây dựng,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/DNG-ctcp-lap-may-dien-nuoc-va-xay-dung.htm
1999,DNPAudit,Công ty TNHH Kiểm toán - Tư vấn Tài chính D.N.P,Dịch vụ pháp lý,Khác,0,https://finance.vietstock.vn/DNPAudit-cong-ty-tnhh-kiem-toan-tu-van-tai-chinh-d-n-p.htm
2000,DNR,CTCP Đường sắt Quảng Nam - Đà Nẵng,Hỗ trợ vận tải,OTC,1577500,https://finance.vietstock.vn/DNR-ctcp-duong-sat-quang-nam-da-nang.htm
2001,DNS,CTCP Thép Đà Nẵng,Sản xuất các sản phẩm kim loại cơ bản,OTC,21600000,https://finance.vietstock.vn/DNS-ctcp-thep-da-nang.htm
2002,DNSE,CTCP Chứng khoán DNSE,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,5000000,https://finance.vietstock.vn/DNSE-ctcp-chung-khoan-dnse.htm
2003,DNTD,CTCP Thiết kế Viễn thông Tin học Đà Nẵng,Chăn nuôi,OTC,0,https://finance.vietstock.vn/DNTD-ctcp-thiet-ke-vien-thong-tin-hoc-da-nang.htm
2004,DNV,CTCP Thương mại Dịch vụ VDA Đà Nẵng,Bất động sản,OTC,8100000,https://finance.vietstock.vn/DNV-ctcp-thuong-mai-dich-vu-vda-da-nang.htm
2005,DNY,CTCP Thép DANA - Ý,Sản xuất các sản phẩm kim loại cơ bản,OTC,26999517,https://finance.vietstock.vn/DNY-ctcp-thep-dana-y.htm
2006,Donatraco,CTCP Sản xuất Thương mại Dịch vụ Đồng Nai,Bán buôn hàng tiêu dùng,OTC,0,https://finance.vietstock.vn/Donatraco-ctcp-san-xuat-thuong-mai-dich-vu-dong-nai.htm
2007,DongABank,Ngân hàng TMCP Đông Á,Trung gian tín dụng và các hoạt động liên quan,OTC,500000000,https://finance.vietstock.vn/DongABank-ngan-hang-tmcp-dong-a.htm
2008,DongACapital,Công ty TNHH Quản lý Quỹ đầu tư Chứng khoán Đông Á,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",Khác,0,https://finance.vietstock.vn/DongACapital-cong-ty-tnhh-quan-ly-quy-dau-tu-chung-khoan-dong-a.htm
2009,DongAnhSteel,CTCP Kết cấu Thép Xây dựng,Sản xuất sản phẩm khoáng chất phi kim,OTC,0,https://finance.vietstock.vn/DongAnhSteel-ctcp-ket-cau-thep-xay-dung.htm
2010,DongASecurities,Công ty TNHH MTV Chứng khoán Ngân hàng Đông Á,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Khác,50000000,https://finance.vietstock.vn/DongASecurities-cong-ty-tnhh-mtv-chung-khoan-ngan-hang-dong-a.htm
2011,DongDuong,Công ty TNHH Kiểm toán Đông Dương,Dịch vụ pháp lý,Khác,0,https://finance.vietstock.vn/DongDuong-cong-ty-tnhh-kiem-toan-dong-duong.htm
2012,DongLong,Công ty TNHH Vận tải biển Đông Long,Chăn nuôi,Khác,0,https://finance.vietstock.vn/DongLong-cong-ty-tnhh-van-tai-bien-dong-long.htm
2013,DongNam,Công ty TNHH Kiểm toán Đông Nam,Dịch vụ pháp lý,Khác,0,https://finance.vietstock.vn/DongNam-cong-ty-tnhh-kiem-toan-dong-nam.htm
2014,DongPhuongAudit,Công ty TNHH Tư vấn Tài chính và Kiểm toán Đông Phương,Dịch vụ pháp lý,Khác,0,https://finance.vietstock.vn/DongPhuongAudit-cong-ty-tnhh-tu-van-tai-chinh-va-kiem-toan-dong-phuong.htm
2015,DongTam,CTCP Đồng Tâm,Sản xuất sản phẩm khoáng chất phi kim,OTC,0,https://finance.vietstock.vn/DongTam-ctcp-dong-tam.htm
2016,DongTauAnPhu,CTCP Đóng Tàu An Phú,Vận tải đường thủy,OTC,0,https://finance.vietstock.vn/DongTauAnPhu-ctcp-dong-tau-an-phu.htm
2017,DongThang,Công ty TNHH Kiểm toán Đồng Thắng,Dịch vụ pháp lý,Khác,0,https://finance.vietstock.vn/DongThang-cong-ty-tnhh-kiem-toan-dong-thang.htm
2018,DongThapTourist,CTCP Du lịch Đồng Tháp,Vận chuyển du lịch,OTC,0,https://finance.vietstock.vn/DongThapTourist-ctcp-du-lich-dong-thap.htm
2019,DongTien,CTCP Đồng Tiến,"Sản xuất sợi, vải",OTC,0,https://finance.vietstock.vn/DongTien-ctcp-dong-tien.htm
2020,DongXanh,CTCP Đồng Xanh,Sản xuất thực phẩm,OTC,0,https://finance.vietstock.vn/DongXanh-ctcp-dong-xanh.htm
2021,DOPHARMA,CTCP Dược phẩm TW 2,"Sản xuất hóa chất, dược phẩm",OTC,0,https://finance.vietstock.vn/DOPHARMA-ctcp-duoc-pham-tw-2.htm
2022,DoThi18,CTCP Đầu tư Hạ tầng 18,"Xây dựng nhà cửa, cao ốc",OTC,0,https://finance.vietstock.vn/DoThi18-ctcp-dau-tu-ha-tang-18.htm
2023,DothiGialai,CTCP Công trình Đô thị Gia Lai,Dịch vụ hành chính và hỗ trợ,OTC,0,https://finance.vietstock.vn/DothiGialai-ctcp-cong-trinh-do-thi-gia-lai.htm
2024,DoThiGiaLam,CTCP Môi trường Đô thị Gia Lâm,"Nước, chất thải và các hệ thống khác",Khác,0,https://finance.vietstock.vn/DoThiGiaLam-ctcp-moi-truong-do-thi-gia-lam.htm
2025,DSS,CTCP Đường sắt Sài Gòn,Hỗ trợ vận tải,OTC,2045000,https://finance.vietstock.vn/DSS-ctcp-duong-sat-sai-gon.htm
2026,DSVN,Tổng Công ty Đường sắt Việt Nam,Vận tải đường sắt,Khác,0,https://finance.vietstock.vn/DSVN-tong-cong-ty-duong-sat-viet-nam.htm
2027,DT319,CTCP Đầu tư và Thương mại 319,Chăn nuôi,OTC,0,https://finance.vietstock.vn/DT319-ctcp-dau-tu-va-thuong-mai-319.htm
